[bin0]
ATLAS_EG_RESOLUTION_ALL = 0.989601 1.00533
ATLAS_EG_SCALE_ALLCORR = 0.99964 0.997869
ATLAS_EG_SCALE_E4SCINTILLATOR = 1 0.998763
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE = 1.00003 1.00125
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE = 1 1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE = 1 1
ATLAS_JET_BJES_Response = 1 1
ATLAS_JES_EffectiveNP_1 = 1.00433 0.999185
ATLAS_JES_EffectiveNP_2 = 1 1
ATLAS_JES_EffectiveNP_3 = 1 1
ATLAS_JES_EffectiveNP_4 = 1 1
ATLAS_JES_EffectiveNP_5 = 1 1
ATLAS_JES_EffectiveNP_6 = 1 1
ATLAS_JES_EffectiveNP_7 = 1 1
ATLAS_JET_EffectiveNP_8restTerm = 1 1
ATLAS_JES_EtaInter_Model = 1.00669 0.994931
ATLAS_JES_EtaInter_NonClosure = 1.00225 0.998952
ATLAS_JES_EtaInter_Stat = 1 1
ATLAS_JES_Flavor_Comp = 1.01053 0.980102
ATLAS_JES_Flavor_Resp = 0.999185 1.00433
ATLAS_JER_SINGLE_NP = 0.974446 1.02555
ATLAS_JVT = 1 1
ATLAS_JES_PU_OffsetMu = 0.998447 1.00028
ATLAS_JES_PU_OffsetNPV = 1.00211 1.00041
ATLAS_JES_PU_PtTerm = 1.0011 1
ATLAS_JES_PU_Rho = 1.00433 0.995933
ATLAS_JES_PunchThrough = 1 1
ATLAS_JES_HighPt = 1 1
ATLAS_MUON_ID = 0.994296 0.99331
ATLAS_MUON_MS = 1.00243 1.00132
ATLAS_MUON_SAGITTA_RESBIAS = 1.00212 0.995118
ATLAS_MUON_SAGITTA_RHO = 1.00027 1.00148
ATLAS_MUON_SCALE = 1.00106 0.995661
ATLAS_EL_EFF_ID_CorrUncertaintyNP0 = 1 1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10 = 1.00017 0.999829
ATLAS_EL_EFF_ID_CorrUncertaintyNP11 = 0.997336 1.00268
ATLAS_EL_EFF_ID_CorrUncertaintyNP12 = 1.0046 0.99543
ATLAS_EL_EFF_ID_CorrUncertaintyNP13 = 0.994723 1.00531
ATLAS_EL_EFF_ID_CorrUncertaintyNP14 = 0.991097 1.00908
