SysId                                        UpVal       DownVal          SysType      Constr
ATLAS_EL_EFF_ID_UncorrUncertainty_NP13       0.999501    1.0005                 1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP14       0.999957    1.00004                1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP15       0.999979    1.00002                1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP2        0.998671    1.00133                1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP3        0.998973    1.00103                1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP4        0.999454    1.00055                1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP5        0.999199    1.0008                 1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP6        0.999901    1.0001                 1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP7        0.999961    1.00004                1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP8        0.997565    1.00243                1           1
ATLAS_EL_EFF_ID_UncorrUncertainty_NP9        0.996028    1.00399                1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR     0.987798    1.01234                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR    0.9815      1.01898                1           1
ATLAS_HOEW                                   1           1                      1           1
ATLAS_HOEW_QCD                               1           1                      1           1
ATLAS_HOQCD_SCALE                            1           1                      1           1
ATLAS_JER                                    0.999975    1.00003                1           1
ATLAS_JES_BJES                               1           1                      1           1
ATLAS_JES_EffectiveNP_1                      1.00022     0.999817               1           1
ATLAS_JES_EffectiveNP_2                      0.999968    1.00006                1           1
ATLAS_JES_EffectiveNP_3                      1.00001     0.999974               1           1
ATLAS_JES_EffectiveNP_4                      0.99998     0.999999               1           1
ATLAS_JES_EffectiveNP_5                      0.999999    0.999982               1           1
ATLAS_JES_EffectiveNP_6                      0.999984    0.999999               1           1
ATLAS_JES_EtaInter_Model                     1.00008     0.999909               1           1
ATLAS_JES_EtaInter_NonClosure                1.00001     1.00001                1           1
ATLAS_JES_EtaInter_Stat                      1.00006     0.999967               1           1
ATLAS_JES_Flavor_Comp                        1.00027     0.999817               1           1
ATLAS_JES_Flavor_Resp                        0.999959    1.00009                1           1
ATLAS_JES_HighPt                             1           1                      1           1
ATLAS_JES_PU_OffsetMu                        1.00004     0.999974               1           1
ATLAS_JES_PU_OffsetNPV                       1.00008     0.999965               1           1
ATLAS_JES_PU_PtTerm                          1.00001     0.999975               1           1
ATLAS_JES_PU_Rho                             1.0001      0.999951               1           1
ATLAS_JES_PunchThrough                       1           1                      1           1
ATLAS_JVT                                    0.99514     1.00488                1           1
ATLAS_MUONS_ID                               0.998469    0.995213               1           1
ATLAS_MUONS_MS                               0.998932    0.995606               1           1
ATLAS_MUONS_SCALE                            1.00064     0.996861               1           1
ATLAS_MUON_EFF_STAT                          0.998094    1.00191                1           1
ATLAS_MUON_EFF_STAT_LOWPT                    0.996228    1.00378                1           1
ATLAS_MUON_EFF_SYS                           0.994043    1.00599                1           1
ATLAS_MUON_EFF_SYS_LOWPT                     0.995445    1.00457                1           1
ATLAS_MUON_ISO_STAT                          0.998483    1.00152                1           1
ATLAS_MUON_ISO_SYS                           0.975509    1.02482                1           1
ATLAS_MUON_TTVA_STAT                         0.998189    1.00181                1           1
ATLAS_MUON_TTVA_SYS                          0.987321    1.00896                1           1
ATLAS_PRW_DATASF                             0.983659    1.0012                 1           1
