SysId                                        UpVal       DownVal          SysType      Constr
ATLAS_JES_EtaInter_Stat                      1.00003     0.999971               1           1
ATLAS_JES_Flavor_Comp                        1.00016     0.999819               1           1
ATLAS_JES_Flavor_Resp                        0.999955    1.00005                1           1
ATLAS_JES_HighPt                             1           1                      1           1
ATLAS_JES_PU_OffsetMu                        1.00001     0.999986               1           1
ATLAS_JES_PU_OffsetNPV                       1.00002     0.999977               1           1
ATLAS_JES_PU_PtTerm                          1           0.999999               1           1
ATLAS_JES_PU_Rho                             1.00005     0.999947               1           1
ATLAS_JES_PunchThrough                       1           1                      1           1
ATLAS_JVT                                    0.996674    1.00334                1           1
ATLAS_MUONS_ID                               1.00025     1                      1           1
ATLAS_MUONS_MS                               1.00031     1.00008                1           1
ATLAS_MUONS_SCALE                            1.00064     0.999609               1           1
ATLAS_MUON_EFF_STAT                          0.997967    1.00204                1           1
ATLAS_MUON_EFF_STAT_LOWPT                    0.995571    1.00444                1           1
ATLAS_MUON_EFF_SYS                           0.994282    1.00575                1           1
ATLAS_MUON_EFF_SYS_LOWPT                     0.99464     1.00538                1           1
ATLAS_MUON_ISO_STAT                          0.99836     1.00164                1           1
ATLAS_MUON_ISO_SYS                           0.970384    1.03003                1           1
ATLAS_MUON_TTVA_STAT                         0.998221    1.00178                1           1
ATLAS_MUON_TTVA_SYS                          0.987321    1.00896                1           1
ATLAS_PRW_DATASF                             0.976079    1.00918                1           1
