Channel        AllSig                 ggH                 VBF                 WH                  ZH                 ttH                 bbH         
incl   0.532964  0.001349  0.532184  0.001529  0.569176  0.001407  0.520457  0.003427  0.518687  0.003358  0.396084  0.006995  0.527342  0.013067
4mu    0.638634  0.002823  0.639538  0.003208  0.673225  0.002875  0.612139  0.007133  0.605002  0.006852  0.429060  0.013608  0.627673  0.026089
4e     0.426137  0.002434  0.423483  0.002761  0.459840  0.002573  0.435726  0.006332  0.418045  0.006102  0.389553  0.013993  0.443192  0.024744
2mu2e  0.480714  0.002657  0.478176  0.003008  0.523732  0.002836  0.481252  0.006778  0.486816  0.006801  0.392898  0.014962  0.471871  0.025422
2e2mu  0.551218  0.002719  0.551580  0.003077  0.587203  0.002847  0.524657  0.006793  0.536508  0.006809  0.364367  0.013342  0.523096  0.026772
