bin          AllSig                 ggH                 VBF                 WH                  ZH                 ttH                 bbH         
0      0.499727  0.003133  0.499684  0.003168  0.454857  0.011291  0.417334  0.023768  0.434102  0.025262 -0.000000  0.000000  0.546375  0.031847
1      0.481196  0.003080  0.481423  0.003151  0.463233  0.007782  0.443468  0.016929  0.433603  0.017066  0.164928  0.242068  0.497370  0.025244
2      0.484019  0.003630  0.484608  0.003881  0.475316  0.005863  0.458111  0.008680  0.488259  0.008914  0.355017  0.205764  0.500127  0.033929
3      0.581756  0.017402  2.064002  0.488490  3.119902  0.461562  0.496707  0.020609  0.526640  0.018364  0.883380  0.473987  6.213253 11.599706
4      0.992653  0.012362  1.056714  0.014469  0.591673  0.008596  0.518260  0.017430  0.491804  0.016951  0.358881  0.129711  0.649662  0.062165
5      0.525746  0.003958  0.528445  0.004420  0.519327  0.004130  0.477308  0.009971  0.483080  0.010465  0.271582  0.126894  0.490004  0.034758
6      0.477359  0.004724  0.475487  0.005442  0.494773  0.004713  0.474890  0.012242  0.484664  0.012878  0.335024  0.132009  0.465801  0.060640
7      0.496435  0.004894  0.495467  0.005965  0.504993  0.004189  0.492145  0.012036  0.476150  0.011808  0.273578  0.096770  0.594198  0.101927
8      0.536518  0.006428  0.534259  0.008438  0.538289  0.005199  0.565656  0.016259  0.551728  0.015243  0.514849  0.114277  0.444314  0.128389
9      0.640299  0.003823  0.688593  0.006003  0.611751  0.002547  0.548400  0.006769  0.530979  0.006328  0.364396  0.008749  0.581624  0.032283
10     0.598805  0.004339  0.606409  0.007164  0.631504  0.003334  0.582910  0.008881  0.581539  0.008751  0.440241  0.012010  0.447923  0.091315
